I_Data,Q_Data
-739,-383
113,571
815,763
434,-54
387,741
826,609
169,-329
-711,-828
233,778
1038,918
464,-157
-723,-1026
1015,698
130,-496
-936,-1028
-757,-197
-524,-800
-790,-486
-6,477
784,805
-648,-229
275,679
834,686
287,-212
-956,-532
82,665
1010,985
600,-1
428,898
1043,802
279,-353
-856,-1047
540,70
-423,-760
-820,-578
-130,367
-635,-834
-717,-344
156,598
822,749
-602,-987
-1008,-663
-74,542
954,1025
-853,-351
278,810
1040,893
419,-207
735,831
622,187
-309,-697
-834,-658
400,-93
-554,-813
-776,-451
33,508
719,152
-472,-923
-1040,-769
-224,405
-759,-1039
-929,-490
129,704
1026,969
-249,250
665,834
698,306
-197,-628
799,793
501,28
-457,-774
-815,-552
886,1039
821,299
-325,-839
-1047,-869
562,-52
-644,-1000
-991,-621
-26,584
-832,-730
-362,134
587,822
754,418
-91,402
752,822
594,151
-348,-724
-378,258
790,1038
908,445
-186,-742
969,1011
679,100
-518,-947
-1028,-738
-74,-544
-805,-780
-470,16
492,794
-832,-637
-212,295
688,832
676,269
-1029,-942
-509,106
685,1016
973,581
-178,449
911,1041
792,253
-377,-873
802,518
48,-439
-769,-815
-563,-112
-231,-653
-833,-709
-325,175
610,824
-23,-626
-999,-1006
-642,-49
556,966
-1044,-834
-327,307
824,1044
882,400
389,742
824,608
174,-331
-713,-836
739,380
-115,-570
-814,-764
-434,53
1020,703
127,-496
-935,-1032
-753,-206
-233,-775
-1039,-920
-471,155
723,1025
-650,-231
275,681
836,687
293,-216
523,803
787,487
11,-473
-786,-806
424,898
1044,808
279,-352
-854,-1045
958,539
-83,-666
-1010,-987
-601,0
-640,-832
-719,-343
156,595
824,749
-537,-71
422,762
819,580
132,-369
-853,-354
279,807
1041,899
420,-205
601,985
1009,661
77,-540
-959,-1025
396,-95
-552,-814
-777,-450
33,508
-733,-829
-626,-188
311,701
835,663
-758,-1033
-933,-492
129,700
1020,967
-718,-150
475,926
1034,776
228,-401
795,794
507,30
-458,-778
-808,-554
247,-252
-665,-836
-699,-308
191,626
557,-53
-645,-999
-994,-620
-24,584
-886,-1047
-824,-305
332,840
1045,870
-93,405
751,823
595,145
